movieId,imdbid,budget,id_global,original_title,popularity,runtime,vote_average,vote_count,gender_id,gender_name,tmdbId,avg_rating
1,0114709,30000000,862,Toy Story,21.946943,81.0,7.7,5415,16,Animation,862,3.8724696356275303
1,0114709,30000000,862,Toy Story,21.946943,81.0,7.7,5415,35,Comedy,862,3.8724696356275303
1,0114709,30000000,862,Toy Story,21.946943,81.0,7.7,5415,10751,Family,862,3.8724696356275303
2,0113497,65000000,8844,Jumanji,17.015539,104.0,6.9,2413,12,Adventure,8844,3.4018691588785046
2,0113497,65000000,8844,Jumanji,17.015539,104.0,6.9,2413,14,Fantasy,8844,3.4018691588785046
2,0113497,65000000,8844,Jumanji,17.015539,104.0,6.9,2413,10751,Family,8844,3.4018691588785046
3,0113228,0,15602,Grumpier Old Men,11.7129,101.0,6.5,92,10749,Romance,15602,3.1610169491525424
3,0113228,0,15602,Grumpier Old Men,11.7129,101.0,6.5,92,35,Comedy,15602,3.1610169491525424
4,0114885,16000000,31357,Waiting to Exhale,null,null,null,null,35,Comedy,31357,2.3846153846153846
4,0114885,16000000,31357,Waiting to Exhale,null,null,null,null,18,Drama,31357,2.3846153846153846
4,0114885,16000000,31357,Waiting to Exhale,null,null,null,null,10749,Romance,31357,2.3846153846153846
5,0113041,0,11862,Father of the Bride Part II,8.387519,106.0,5.7,173,35,Comedy,11862,3.267857142857143
6,0113277,60000000,949,Heat,17.924927,170.0,7.7,1886,28,Action,949,3.8846153846153846
6,0113277,60000000,949,Heat,17.924927,170.0,7.7,1886,80,Crime,949,3.8846153846153846
6,0113277,60000000,949,Heat,17.924927,170.0,7.7,1886,18,Drama,949,3.8846153846153846
6,0113277,60000000,949,Heat,17.924927,170.0,7.7,1886,53,Thriller,949,3.8846153846153846
7,0114319,58000000,11860,Sabrina,6.677277,127.0,6.2,141,35,Comedy,11860,3.2830188679245285
7,0114319,58000000,11860,Sabrina,6.677277,127.0,6.2,141,10749,Romance,11860,3.2830188679245285
8,0112302,0,45325,Tom and Huck,2.561161,97.0,5.4,45,28,Action,45325,3.8
8,0112302,0,45325,Tom and Huck,2.561161,97.0,5.4,45,12,Adventure,45325,3.8
8,0112302,0,45325,Tom and Huck,2.561161,97.0,5.4,45,18,Drama,45325,3.8
8,0112302,0,45325,Tom and Huck,2.561161,97.0,5.4,45,10751,Family,45325,3.8
9,0114576,35000000,9091,Sudden Death,5.23158,106.0,5.5,174,28,Action,9091,3.15
9,0114576,35000000,9091,Sudden Death,5.23158,106.0,5.5,174,12,Adventure,9091,3.15
9,0114576,35000000,9091,Sudden Death,5.23158,106.0,5.5,174,53,Thriller,9091,3.15
10,0113189,58000000,710,GoldenEye,14.686036,130.0,6.6,1194,12,Adventure,710,3.4508196721311477
10,0113189,58000000,710,GoldenEye,14.686036,130.0,6.6,1194,28,Action,710,3.4508196721311477
10,0113189,58000000,710,GoldenEye,14.686036,130.0,6.6,1194,53,Thriller,710,3.4508196721311477
11,0112346,62000000,9087,The American President,6.318445,106.0,6.5,199,35,Comedy,9087,3.6890243902439024
11,0112346,62000000,9087,The American President,6.318445,106.0,6.5,199,18,Drama,9087,3.6890243902439024
11,0112346,62000000,9087,The American President,6.318445,106.0,6.5,199,10749,Romance,9087,3.6890243902439024
